Game,Câu hỏi,Đáp án
Rise of Kingdoms,How many teams competed in the 2022 World Cup?,32.0
Rise of Kingdoms,Có bao nhiêu đội thi đấu ở World Cup 2022?,"32,0"
Rise of Kingdoms,How many teams took part in the first World Cup?,13.0
Rise of Kingdoms,Có bao nhiêu đội tham dự World Cup đầu tiên?,13.0
Rise of Kingdoms,How many tents are shown on the icon for the Military Technology “Encampment”?,3.0
Rise of Kingdoms,Có bao nhiêu chiếc lều được hiển thị trên biểu tượng của “Trại trại” Công nghệ Quân sự?,3.0
Rise of Kingdoms,How many tiles does a City Hall occupy within your city?,9 x 9
Rise of Kingdoms,Tòa thị chính chiếm bao nhiêu ô trong thành phố của bạn?,9 x 9
Rise of Kingdoms,How many times can you receive alliance help if your Alliance Center is level 14?,18.0
Rise of Kingdoms,Bạn có thể nhận được trợ giúp liên minh bao nhiêu lần nếu Trung tâm Liên minh của bạn ở cấp 14?,18.0
Rise of Kingdoms,How many times can you receive alliance help if your alliance center is level 25?,30.0
Rise of Kingdoms,How many times has North Korea qualified for the World Cup?,Two times
Rise of Kingdoms,Triều Tiên đã bao nhiêu lần vượt qua vòng loại World Cup?,Hai lần
Rise of Kingdoms,How many times is the character “1” used when you write from number 1 to number 99?,20.0
Rise of Kingdoms,Ký tự “1” được sử dụng bao nhiêu lần khi viết từ số 1 đến số 99?,"20,0"
Rise of Kingdoms,How many troops are recommended for destroying a Lvl 3 Barbarian Fort?,"480,000 Lvl 3 units"
Rise of Kingdoms,Cần bao nhiêu quân để phá hủy Pháo đài man rợ cấp 3?,480.000 cấp 3 đơn vị
Rise of Kingdoms,How many troops can governors send with a level 17 City Hall or above?,4.0
Rise of Kingdoms,How many VIP points can you buy with 200 gems?,200.0
Rise of Kingdoms,How many Watchtowers are included in a Lvl 25 city?,8.0
Rise of Kingdoms,Có bao nhiêu Tháp canh được bao gồm trong một thành phố cấp 25?,"8,0"
Rise of Kingdoms,How many wheels are there on a battering ram?,6.0
Rise of Kingdoms,Có bao nhiêu bánh xe trên một chiếc ram đập?,6.0
Rise of Kingdoms,How many Women’s World Cups has Megan Rapinoe won?,2.0
Rise of Kingdoms,Megan Rapinoe đã giành được bao nhiêu World Cup nữ?,2.0
Rise of Kingdoms,How many World Cup titles has Italy won?,4.0
Rise of Kingdoms,Ý đã giành được bao nhiêu danh hiệu World Cup?,4.0
Rise of Kingdoms,How many World Cup titles has Pelé won?,3.0
Rise of Kingdoms,How many years are there between each Winter Olympic Games?,4.0
Rise of Kingdoms,How much capacity does a Lvl 15 Hospital provide (excluding boosts)?,29000.0
Rise of Kingdoms,Bệnh viện Cấp 15 cung cấp bao nhiêu công suất (không bao gồm tăng cường)?,29000.0
Rise of Kingdoms,How much does the 12-Hour Enhanced Attack item increase your troops’ Attack by?,5%
Rise of Kingdoms,Vật phẩm Tấn công nâng cao 12 giờ tăng sức tấn công của quân bạn lên bao nhiêu?,5%
Rise of Kingdoms,How much experience does a commander earn from a Lvl 7 Tome of Knowledge?,50000.0
Rise of Kingdoms,Người chỉ huy kiếm được bao nhiêu kinh nghiệm từ Sách Kiến thức Cấp 7?,"50000,0"
Rise of Kingdoms,How much gold does a single issue of the Kingdom Newspaper cost?,1000.0
Rise of Kingdoms,Một số báo Nước Trời trị giá bao nhiêu vàng?,"1000,0"
Rise of Kingdoms,How much reinforcement troop capacity does a city receive at Alliance Center Lvl 20?,575000.0
Rise of Kingdoms,Một thành phố nhận được bao nhiêu quân tăng cường tại Trung tâm Liên minh Lvl 20?,575000.0
Rise of Kingdoms,How much stone will a Lvl 17 Quarry produce every hour (excluding boosts)?,2775.0
Rise of Kingdoms,Mỏ đá cấp 17 sẽ sản xuất bao nhiêu đá mỗi giờ (không bao gồm đá tăng)?,2775.0
Rise of Kingdoms,How much total daily contribution is required to place in the daily alliance contribution rankings?,10000.0
Rise of Kingdoms,Tổng số tiền đóng góp hàng ngày cần thiết để xếp hạng trong bảng xếp hạng đóng góp hàng ngày của liên minh?,"10000,0"
Rise of Kingdoms,How much will an Enhanced Attack (Advanced) item increase your attack?,10%
Rise of Kingdoms,How much will an Enhanced Gathering item increase your gathering speed?,50%
Rise of Kingdoms,How often does the World Cup take place?,Every 4 years
Rise of Kingdoms,World Cup diễn ra thường xuyên như thế nào?,Cứ sau 4 năm
Rise of Kingdoms,How often is the FIFA World Cup held?,Every 4 years
Rise of Kingdoms,How was the Gutenberg Bible put into mass production?,Movable type printing press
Rise of Kingdoms,"If a man with type AB blood and a woman with type B blood have a baby, which of the following statements would be incorrect?",It could have type O blood
Rise of Kingdoms,"Nếu một người đàn ông có nhóm máu AB và một người phụ nữ có nhóm máu B sinh con, phát biểu nào sau đây là sai?",Nó có thể có nhóm máu O
Rise of Kingdoms,Iguazu Falls lies on the border of which two countries?,Brazil and Argentina
Rise of Kingdoms,Thác Iguazu nằm ở biên giới của hai quốc gia nào?,Brazil và Argentina
Rise of Kingdoms,"In “Republic”, what does Plato identify as the “highest form”?",Form of the Good
Rise of Kingdoms,"Trong “Cộng hòa”, Plato xác định điều gì là “hình thức cao nhất”?",Hình thức tốt
Rise of Kingdoms,"In 1582, Oda Nobunaga was betrayed and ambushed by his general Akechi Mitsuhide. Where did this occur?",Honnō-ji Temple in Kyoto
Rise of Kingdoms,"Năm 1582, Oda Nobunaga bị tướng Akechi Mitsuhide phản bội và phục kích. Điều này đã xảy ra ở đâu?",Đền Honnō-ji ở Kyoto
Rise of Kingdoms,"In 1970, an Apollo mission attempted to land on the moon. Due to a technical issue, it only managed to orbit around the moon and return to Earth. What was the name of the mission?",Apollo 13
Rise of Kingdoms,"Năm 1970, một sứ mệnh Apollo đã cố gắng hạ cánh trên mặt trăng. Do sự cố kỹ thuật, nó chỉ quay quanh mặt trăng và quay trở lại Trái đất. Tên của nhiệm vụ là gì?",Apollo 13
Rise of Kingdoms,"In 1970, which goalkeeper made the “save of the century” against Pelé?",Gordon Banks
Rise of Kingdoms,"In 2002, FIFA published a fan-selected World Cup Dream Team. Who was the goalkeeper?",Lev Yashin
Rise of Kingdoms,"Năm 2002, FIFA công bố Đội hình trong mơ World Cup do người hâm mộ lựa chọn. Thủ môn là ai?",Lev Yashin
Rise of Kingdoms,"In 2010, at age 71, Otto Rehhagel became the oldest person to manage a World Cup team. Which team did he manage?",Greece
Rise of Kingdoms,"Năm 2010, ở tuổi 71, Otto Rehhagel trở thành người lớn tuổi nhất dẫn dắt một đội tuyển dự World Cup. Anh ấy đã quản lý đội nào?",Hy Lạp
Rise of Kingdoms,"In 2018, which country set the record for being the least-populated country to ever reach the World Cup?",Iceland
Rise of Kingdoms,"Năm 2018, quốc gia nào lập kỷ lục là quốc gia ít dân số nhất từng lọt vào World Cup?",Iceland
Rise of Kingdoms,"In 2026, the US, Mexico, and Canada will co-host the World Cup. How many teams will be participating?",48.0
Rise of Kingdoms,"Năm 2026, Mỹ, Mexico và Canada sẽ đồng đăng cai World Cup. Có bao nhiêu đội sẽ tham gia?","48,0"
Rise of Kingdoms,"In Ancient Egypt, which of the following was NOT a privilege of being a ‘Scribe’?",Exempt from paying medical expenses if sick
Rise of Kingdoms,"Ở Ai Cập cổ đại, điều nào sau đây KHÔNG phải là đặc quyền để trở thành 'Người ghi chép'?",Miễn thanh toán chi phí y tế nếu bị bệnh
Rise of Kingdoms,"In ancient Greece, the Delian League was led by which city-state?",Athens
Rise of Kingdoms,"Ở Hy Lạp cổ đại, Liên minh Delian được lãnh đạo bởi thành bang nào?",Athens
Rise of Kingdoms,"In Ancient Greece, which philosopher liked to discuss ideas on a street which then got the nickname “Peripatetic School”?",Aristotle
Rise of Kingdoms,"Ở Hy Lạp cổ đại, triết gia nào thích thảo luận về các ý tưởng trên một con phố mà lúc đó có biệt danh là “Trường học Peripatetic”?",Aristote
Rise of Kingdoms,"In ancient Greece, who was the high priestess of the Temple of Apollo at Delphi?",The Pythia
Rise of Kingdoms,"Ở Hy Lạp cổ đại, nữ tư tế cao cấp của Đền thờ Apollo ở Delphi là ai?",Pythia
Rise of Kingdoms,"In ancient Greek mythology, who was Hermes’ father?",Zeus
Rise of Kingdoms,"In ancient Greek mythology, who was the wife of Hades, the king of the underworld?",Persephone
Rise of Kingdoms,"Trong thần thoại Hy Lạp cổ đại, vợ của Hades, vua địa ngục là ai?",Persephone
Rise of Kingdoms,"In Ark of Osiris, how many teleports does the first alliance to occupy an obelisk earn?",8.0
Rise of Kingdoms,"In Ark of Osiris, what effect does the Desert Storm skill have on enemy troops?",Deals skill damage
Rise of Kingdoms,"Trong Ark of Osiris, kỹ năng Bão táp sa mạc có tác dụng gì với quân địch?",Gây sát thương kỹ năng
Rise of Kingdoms,"In Ark of Osiris, what is the requirement for an alliance to participate in the Golden Battlefield?",Ranked top 20 for alliance power in their kingdom
Rise of Kingdoms,"Trong Ark of Osiris, yêu cầu để một liên minh tham gia Chiến trường Vàng là gì?",Xếp hạng top 20 về sức mạnh liên minh trong vương quốc của họ
Rise of Kingdoms,"In Ark of Osiris, where are you supposed to take the Ark?",A non-enemy building
Rise of Kingdoms,"In Ark of Osiris, which Speedup can you use?",Healing Speedup
Rise of Kingdoms,"Trong Ark of Osiris, bạn có thể sử dụng Speedup nào?",Tăng tốc chữa bệnh
Rise of Kingdoms,"In China’s Han Dynasty, who opened the Silk Road on the orders of Emperor Wu?",Zhang Qian
Rise of Kingdoms,"In Chinese mythology, what kind of creature is Jingwei?",A bird
Rise of Kingdoms,"Trong thần thoại Trung Quốc, Jingwei là loại sinh vật gì?",Một con chim
Rise of Kingdoms,"In DC comics, what is Batman’s real name?",Bruce Wayne
Rise of Kingdoms,"Trong truyện tranh DC, tên thật của Batman là gì?",Bruce Wayne
Rise of Kingdoms,"In French novelist Stendhal’s The Red and the Black, what is the name of the ambitious protagonist?",Julien
Rise of Kingdoms,"Trong tiểu thuyết gia người Pháp Stendhal's The Red and the Black, tên của nhân vật chính đầy tham vọng là gì?",Julien
Rise of Kingdoms,"In Golden Kingdom, how many passes do you need to clear to get a Golden Chest?",4 Passes
Rise of Kingdoms,"Ở Golden Kingdom, bạn cần hoàn thành bao nhiêu lượt để nhận được Rương Vàng?",4 đường chuyền
Rise of Kingdoms,"In Greek mythology, to whom did Paris, the Prince of Troy, give a golden apple inscribed with, “To the most beautiful goddess”?",Aphrodite
Rise of Kingdoms,"Trong thần thoại Hy Lạp, Paris, Hoàng tử thành Troy, đã tặng ai một quả táo vàng có khắc dòng chữ “Dành cho nữ thần xinh đẹp nhất”?",Aphrodite
Rise of Kingdoms,"In Greek mythology, what is the Goddess Eos known as?",Goddess of the Dawn
Rise of Kingdoms,"In Greek mythology, what is the relationship between Zeus and Hermes?",Father and son
Rise of Kingdoms,"In Greek mythology, what was Achilles’ only weak point?",His heels
Rise of Kingdoms,"In Greek mythology, what was the name of Hades’ 3-headed dog which guarded the gates of the Underworld?",Cerberus
Rise of Kingdoms,"Trong thần thoại Hy Lạp, con chó 3 đầu canh giữ cổng Địa ngục của Hades tên là gì?",Cerberus
Rise of Kingdoms,"In Greek mythology, which hero quested for the Golden Fleece?",Jason
Rise of Kingdoms,"In Greek mythology, which hero rode the flying horse Pegasus?",Bellerophon
Rise of Kingdoms,"Trong thần thoại Hy Lạp, vị anh hùng nào cưỡi ngựa bay Pegasus?",Bellerophon
Rise of Kingdoms,"In Greek mythology, who is the hero known for stealing fire from the gods and giving it to humankind?",Prometheus
Rise of Kingdoms,"Trong thần thoại Hy Lạp, ai là người anh hùng nổi tiếng với việc đánh cắp lửa từ các vị thần và đưa nó cho loài người?",Prometheus
Rise of Kingdoms,"In Greek mythology, who ran the chariot of the sun off its path, setting the earth aflame?",Phaethon
Rise of Kingdoms,"Trong thần thoại Hy Lạp, ai đã điều khiển cỗ xe của mặt trời lệch khỏi đường đi của nó và khiến trái đất bốc cháy?",Phaethon
Rise of Kingdoms,"In her in-game dialogue, who does Cleopatra VII mention was assassinated by his own senators?",Julius Caesar
Rise of Kingdoms,"Trong cuộc đối thoại trong trò chơi của mình, Cleopatra VII đề cập đến ai đã bị chính các thượng nghị sĩ của mình ám sát?",Julius Caesar
Rise of Kingdoms,"In his in-game dialogue, who does Lohar say is the “cruelest man” he’s ever met?",High Chieftain Gavar
Rise of Kingdoms,"Trong đoạn hội thoại trong trò chơi, Lohar nói ai là “người đàn ông độc ác nhất” mà anh từng gặp?",Thủ lĩnh tối cao Gavar
Rise of Kingdoms,"In Homer’s epic “The Iliad”, which of theh following goddesses was NOT part of the competition for the Golden Apple?",Artemis
Rise of Kingdoms,"Trong sử thi “The Iliad” của Homer, nữ thần nào sau đây KHÔNG tham gia cuộc tranh giành Quả táo vàng?",Artemis
Rise of Kingdoms,"In Japan, “torii” gates are usually placed at the entrance of what buildings?",Shrines
Rise of Kingdoms,"Ở Nhật Bản, cổng “torii” thường được đặt ở lối vào của những tòa nhà nào?",Đền thờ
Rise of Kingdoms,"In Japan, which fruit is known as the “fruit of immortality”?",Tachibana
Rise of Kingdoms,Ở Nhật Bản loại trái cây nào được mệnh danh là “trái cây trường sinh”?,Tachibana
Rise of Kingdoms,"In Maya mythology, how many levels are there in the heavens and the underworld combined?",22.0
Rise of Kingdoms,"Trong thần thoại Maya, thiên đường và địa ngục cộng lại có bao nhiêu cấp độ?",22.0
Rise of Kingdoms,"In Morse code, what is the length in dots between two words?",7 dots
Rise of Kingdoms,"In most cases, which kind of lion has a mane?",Adult male
Rise of Kingdoms,"In mythology, who was hit by the lead arrow of Eros?",Daphne
Rise of Kingdoms,"Trong thần thoại, ai bị mũi tên chì của Eros bắn trúng?",Daphne
Rise of Kingdoms,"In Norse mythology, the ravens Huginn and Muninn were the companions of which god?",Odin
Rise of Kingdoms,"Trong thần thoại Bắc Âu, quạ Huginn và Muninn là bạn đồng hành của vị thần nào?",Odin
Rise of Kingdoms,"In Norse mythology, what variety of trees was the World Tree?",Ash
Rise of Kingdoms,"In Norse mythology, who does the hammer Mjolnir belong to?",Thor
Rise of Kingdoms,"In Norse mythology, who wielded the weapon Gungnir?",Odin
Rise of Kingdoms,"In RoK, how many soldiers stand in front of the gates of your city?",2.0
Rise of Kingdoms,"Ở Hàn Quốc, có bao nhiêu người lính đứng trước cổng thành của bạn?",2.0
Rise of Kingdoms,"In RoK, the Cataphract is which civilization’s special unit?",Byzantium
Rise of Kingdoms,"Ở Hàn Quốc, Cataphract là đơn vị đặc biệt của nền văn minh nào?",Byzantium
Rise of Kingdoms,"In RoK, the Hwarang is which civilization’s special unit?",Korea
Rise of Kingdoms,"Ở Hàn Quốc, Hwarang là đơn vị đặc biệt của nền văn minh nào?",Hàn Quốc
Rise of Kingdoms,"In RoK, the Janissary is which civilization’s special unit?",Ottoman Empire
Rise of Kingdoms,"Ở Hàn Quốc, Janissary là đơn vị đặc biệt của nền văn minh nào?",Đế quốc Ottoman
Rise of Kingdoms,"In RoK, the Throwing Axeman is which civilization’s special unit?",France
Rise of Kingdoms,"Ở Hàn Quốc, Ném Rìu là đơn vị đặc biệt của nền văn minh nào?",Pháp
Rise of Kingdoms,"In RoK, there is a road paved with golden bricks that can be purchased for 100 Gems. What is it called?",King’s Road
Rise of Kingdoms,"Ở Hàn Quốc, có một con đường lát gạch vàng có thể mua được với giá 100 viên Đá quý. Nó được gọi là gì?",Đường Vua
Rise of Kingdoms,"In RoK, what do you have to do to complete the quest “Sword of the King”?",Recruit 200 infantry units
Rise of Kingdoms,"Ở Hàn Quốc, bạn phải làm gì để hoàn thành nhiệm vụ “Sword of the King”?",Tuyển 200 đơn vị bộ binh
Rise of Kingdoms,"In RoK, what is the maximum number of Goldmines a player can build?",4.0
Rise of Kingdoms,"Ở Hàn Quốc, người chơi có thể xây dựng số lượng Goldmines tối đa là bao nhiêu?",4.0
Rise of Kingdoms,"In RoK, what is the nickname of the commander Constance?",Queen of Sicily
Rise of Kingdoms,"Ở Hàn Quốc, biệt danh của chỉ huy Constance là gì?",Nữ hoàng Sicilia
Rise of Kingdoms,"In RoK, which building can you use to view your kingdom’s history?",Monument
Rise of Kingdoms,"Ở Hàn Quốc, bạn có thể sử dụng tòa nhà nào để xem lịch sử vương quốc của mình?",Đài kỷ niệm
Rise of Kingdoms,"In RoK, which commander can dispel enemy Attack buffs?",Amanitore
Rise of Kingdoms,"Ở Hàn Quốc, chỉ huy nào có thể xua tan bùa tấn công của kẻ thù?",Amanitore
Rise of Kingdoms,"In RoK, which commander has the nickname “Queen of Sicily”?",Constance
Rise of Kingdoms,"Ở Hàn Quốc, vị chỉ huy nào có biệt danh là “Nữ hoàng Sicily”?",Constance
Rise of Kingdoms,"In RoK, which commander has the skill “Beauty and Wisdom”?",Cleopatra VII
Rise of Kingdoms,"Ở Hàn Quốc, chỉ huy nào có kỹ năng “Sắc đẹp và Trí tuệ”?",Cleopatra VII
Rise of Kingdoms,"In RoK, which commander has the title “Beloved of Thoth”?",Thutmose III
Rise of Kingdoms,"Ở Hàn Quốc, vị chỉ huy nào có danh hiệu “Người yêu của Thoth”?",Thutmose III
Rise of Kingdoms,"In RoK, which commander is nicknamed “Queen of Silla”?",Seondeok
Rise of Kingdoms,"Ở Hàn Quốc, vị tướng nào được mệnh danh là “Nữ hoàng Silla”?",Seondeok
Rise of Kingdoms,"In RoK, which Kingdom Chronicles chapter requires all fog in your kingdom to be fully explored?",Long Peace
Rise of Kingdoms,"Ở Hàn Quốc, chương Kingdom Chronicles nào yêu cầu phải khám phá toàn bộ sương mù trong vương quốc của bạn?",Hòa bình lâu dài
Rise of Kingdoms,"In RoK, which of Sun Tzu’s skills is enhanced by his expertise skill?",Art of War
Rise of Kingdoms,"Ở Hàn Quốc, kỹ năng nào của Tôn Tử được nâng cao nhờ kỹ năng chuyên môn?",Nghệ thuật chiến tranh
Rise of Kingdoms,"In RoK, which of the following armaments can be used with the arch formation?",Emblem of the North
Rise of Kingdoms,"Ở Hàn Quốc, loại vũ khí nào sau đây có thể được sử dụng với đội hình vòm?",Biểu tượng của miền Bắc
Rise of Kingdoms,"In RoK, which of the following characters does Sun Tzu mention in his Trust dialogue?",Mulan
Rise of Kingdoms,"Ở Hàn Quốc, Tôn Tử nhắc đến nhân vật nào sau đây trong đoạn hội thoại Niềm Tin của mình?",Hoa Mộc Lan
Rise of Kingdoms,"In RoK, which of the following decorations has to be purchased with Gems?",Vase
Rise of Kingdoms,"Ở Hàn Quốc, đồ trang trí nào sau đây phải được mua bằng Đá quý?",Lọ cắm hoa
Rise of Kingdoms,"In RoK, which of the following is considered a Boost item?",Peace Shield
Rise of Kingdoms,"Ở Hàn Quốc, vật phẩm nào sau đây được coi là vật phẩm Tăng cường?",Lá chắn hòa bình
Rise of Kingdoms,"In RoK, which of the following is NOT one of Mulan’s skills?",Clever Heart
Rise of Kingdoms,"Ở Hàn Quốc, điều nào sau đây KHÔNG phải là một trong những kỹ năng của Mulan?",Trái tim thông minh
Rise of Kingdoms,"In RoK, which of these commanders is NOT good at leading archer units?",Saladin
Rise of Kingdoms,"Ở Hàn Quốc, người chỉ huy nào KHÔNG giỏi chỉ huy các đơn vị cung thủ?",Saladin
Rise of Kingdoms,"In Roman mythology, which animal is the goddess Minerva often associated with?",Owl
Rise of Kingdoms,"Trong thần thoại La Mã, nữ thần Minerva thường gắn liền với con vật nào?",Con cú
Rise of Kingdoms,"In Russian history, what nickname was the first Tzar given for their tyranny?",Ivan the Terrible
Rise of Kingdoms,"In Shakespeare’s Macbeth, the titular character murders King Duncan of Scotland. What is the name of Duncan’s eldest son?",Malcolm
Rise of Kingdoms,"Trong Macbeth của Shakespeare, nhân vật chính đã giết vua Duncan của Scotland. Con trai cả của Duncan tên là gì?",Malcolm
Rise of Kingdoms,"In soccer, which position is allowed to touch the ball with their hands while it is in their team’s penalty area?",Goalkeeper
Rise of Kingdoms,"Trong bóng đá, vị trí nào được phép chạm tay khi bóng ở trong vòng cấm của đội mình?",Thủ môn
Rise of Kingdoms,"In Sunset Canyon, how many troops can you deploy at a time?",5.0
Rise of Kingdoms,"Ở Sunset Canyon, bạn có thể triển khai bao nhiêu quân cùng một lúc?",5.0
Rise of Kingdoms,"In the “Batman” series by DC Comics, which iteration of Robin died as a result of a reader vote?",Jason Todd (Red Hood)
Rise of Kingdoms,"Trong loạt phim “Batman” của DC Comics, phiên bản nào của Robin đã chết do phiếu bầu của độc giả?",Jason Todd (Mũ trùm đầu đỏ)
Rise of Kingdoms,"In the “Gather Resources” stage of the Mightiest Governor event, how many points do you get for gathering 1 gem?",150.0
Rise of Kingdoms,"Trong màn “Thu thập tài nguyên” của sự kiện Thống đốc hùng mạnh nhất, bạn nhận được bao nhiêu điểm khi thu thập 1 viên ngọc?","150,0"
Rise of Kingdoms,"In the 16th-17th centuries, which disease did the famous bird-masked “plague doctors” treat?",Bubonic plague
Rise of Kingdoms,"Vào thế kỷ 16-17, các “bác sĩ bệnh dịch hạch” đeo mặt nạ chim nổi tiếng đã chữa khỏi căn bệnh gì?",Bệnh dịch hạch
Rise of Kingdoms,"In the 1966 World Cup, England manager Alf Ramsey began using a unique formation that led England to the World Cup title. What was notable about this formation?",No wingers
Rise of Kingdoms,"Tại World Cup 1966, huấn luyện viên đội tuyển Anh Alf Ramsey bắt đầu sử dụng đội hình độc đáo đã đưa đội tuyển Anh đến chức vô địch World Cup. Điều gì đáng chú ý về đội hình này?",Không có tiền vệ cánh
Rise of Kingdoms,"In the 2006 World Cup, Switzerland did not concede a single goal in regular play. Who was their goalkeeper?",Pascal Zuberbühler
Rise of Kingdoms,"Ở World Cup 2006, Thụy Sĩ không để thủng lưới một bàn nào khi thi đấu thường xuyên. Thủ môn của họ là ai?",Pascal Zuberbühler
Rise of Kingdoms,"In the 2006 World Cup, who was the only English player to score during penalties in England’s quarter-final match against Portugal?",Owen Hargreaves
Rise of Kingdoms,"Tại World Cup 2006, ai là cầu thủ người Anh duy nhất ghi bàn trong loạt sút luân lưu ở trận tứ kết giữa đội tuyển Anh với Bồ Đào Nha?",Owen Hargreaves
Rise of Kingdoms,"In the 2010 World Cup Final between Spain and the Netherlands, which Spanish player scored the game-winning goal?",Andrés Iniesta
Rise of Kingdoms,"Trong trận chung kết World Cup 2010 giữa Tây Ban Nha và Hà Lan, cầu thủ Tây Ban Nha nào đã ghi bàn thắng quyết định?",Andrés Iniesta
Rise of Kingdoms,"In the 2010 World Cup, which goalkeeper saved two penalty kicks during regular play?",Brad Friedel
Rise of Kingdoms,"Ở World Cup 2010, thủ môn nào cản phá được 2 quả đá phạt đền khi thi đấu thường xuyên?",Brad Friedel
Rise of Kingdoms,"In the 2014 World Cup Final between Germany and Argentina, which German player scored the game-winning goal?",Mario Götze
Rise of Kingdoms,"Trong trận chung kết World Cup 2014 giữa Đức và Argentina, cầu thủ Đức nào ghi bàn thắng quyết định?",Mario Gotze
Rise of Kingdoms,"In the 2014 World Cup held in Brazil, how many cities held match venues?",12.0
Rise of Kingdoms,"Tại World Cup 2014 được tổ chức ở Brazil, có bao nhiêu thành phố tổ chức địa điểm thi đấu?",12.0
Rise of Kingdoms,"In the 2014 World Cup held in Brazil, how many Confederation of African Football teams qualified for the tournament?",5.0
Rise of Kingdoms,"Tại World Cup 2014 được tổ chức tại Brazil, có bao nhiêu đội tuyển Liên đoàn bóng đá châu Phi đủ điều kiện tham dự giải đấu?",5.0
Rise of Kingdoms,"In the 2014 World Cup, which of the following teams was not in the same group as the eventual champions Germany?",England
Rise of Kingdoms,"Tại World Cup 2014, đội nào sau đây không nằm cùng bảng với nhà vô địch cuối cùng là Đức?",Nước Anh
Rise of Kingdoms,"In the 2018 World Cup, Thibaut Courtois won the Golden Glove award for best goalkeeper. What country is he from?",Belgium
Rise of Kingdoms,"Tại World Cup 2018, Thibaut Courtois đã giành giải Găng tay vàng cho thủ môn xuất sắc nhất. Anh ấy đến từ nước nào?",Nước Bỉ
Rise of Kingdoms,"In the 2018 World Cup, what other countries were in England’s Group G?","Belgium, Panama, Tunisia"
Rise of Kingdoms,"Ở World Cup 2018, đội tuyển Anh có những quốc gia nào khác ở bảng G?","Bỉ, Panama, Tunisia"
Rise of Kingdoms,"In the 2018 World Cup, which of the following teams was not in the same group as the eventual champions France?",Germany
Rise of Kingdoms,"Tại World Cup 2018, đội nào sau đây không cùng bảng với nhà vô địch cuối cùng là Pháp?",Nước Đức
Rise of Kingdoms,"In the 2022 World Cup, how many teams made it through the group stage to the knockout stage?",16.0
Rise of Kingdoms,"Tại World Cup 2022, có bao nhiêu đội vượt qua vòng bảng để vào vòng loại trực tiếp?",16.0
Rise of Kingdoms,"In the 2022 World Cup, which two teams stayed in university accommodations?","Argentina, Spain"
Rise of Kingdoms,"Ở World Cup 2022, hai đội nào ở ký túc xá đại học?","Argentina, Tây Ban Nha"
Rise of Kingdoms,"In the 2022 World Cup, who faced the host country Qatar in the opening match?",Ecuador
Rise of Kingdoms,"Ở World Cup 2022, ai đối đầu nước chủ nhà Qatar ở trận mở màn?",Ecuador
Rise of Kingdoms,"In the 2022 World Cup, who was the first team to be eliminated?",Qatar
Rise of Kingdoms,"Ở World Cup 2022, đội đầu tiên bị loại là ai?",Qatar
Rise of Kingdoms,"In the 49 BCE Roman civil war, who was Julius Caesar’s primary opponent?",Gnaeus Pompeius Magnus
Rise of Kingdoms,"Trong cuộc nội chiến La Mã năm 49 trước Công nguyên, đối thủ chính của Julius Caesar là ai?",Gnaeus Pompey Đại đế
Rise of Kingdoms,"In the Book of Exodus, who leads the Jewish people to the Promised Land?",Moses
Rise of Kingdoms,"In the COMMANDER VIEW page, what buff do commanders acting as a “Bloodfist Guard” get?",Troop Health +1%
Rise of Kingdoms,"Trong trang XEM CHỈ HUY, các chỉ huy đóng vai trò là “Người bảo vệ Bloodfist” nhận được buff gì?",Sức khỏe quân đội 1%
Rise of Kingdoms,"In the COMMANDER VIEW page, what buff do commanders acting as a “Drillmaster” get?",Troop Attack +1%
Rise of Kingdoms,"Trong trang XEM LỆNH, những người chỉ huy đóng vai trò là “Thợ khoan” sẽ nhận được buff gì?",Quân tấn công 1%
Rise of Kingdoms,"In the COMMANDER VIEW page, what buff do commanders acting as a “Iron Guard” get?",Troop Health +1%
Rise of Kingdoms,"Trong trang XEM CHỈ HUY, các chỉ huy đóng vai trò là “Người bảo vệ sắt” nhận được buff gì?",Sức khỏe quân đội 1%
Rise of Kingdoms,"In the COMMANDER VIEW page, what buff do commanders acting as a “Ranger” get?",None of these answers are correct
Rise of Kingdoms,"Trong trang XEM CHỈ HUY, các chỉ huy đóng vai trò là “Ranger” nhận được buff gì?",Không có câu
Rise of Kingdoms,"In the COMMANDER VIEW page, what buff do commanders acting as a “Tax Officer” get?",Gathering Speed +5%
Rise of Kingdoms,"Trong trang XEM LỆNH, người chỉ huy đóng vai trò là “Nhân viên Thuế” nhận được buff gì?",Tốc độ thu thập 5%
Rise of Kingdoms,"In the competition for the Golden Boot, if two players have scored the same number of goals, how is the winner determined?",Assists
Rise of Kingdoms,"Trong cuộc cạnh tranh Chiếc giày vàng, nếu 2 cầu thủ ghi được số bàn thắng bằng nhau thì người chiến thắng được xác định như thế nào?",Hỗ trợ
Rise of Kingdoms,"In the Desire of Victory event, how can players gain rewards?",Training troops
Rise of Kingdoms,"Trong sự kiện Khát Vọng Chiến Thắng, người chơi có thể nhận phần thưởng như thế nào?",Huấn luyện quân đội
Rise of Kingdoms,"In the Emerald Tablet, Hermes Trismegistus claims to hold “three parts of the wisdom of the whole world”. Which of these is NOT one of the three parts?",Transfiguration
Rise of Kingdoms,"Trong Tấm bảng Ngọc lục bảo, Hermes Trismegistus tuyên bố nắm giữ “ba phần trí tuệ của toàn thế giới”. Phần nào KHÔNG phải là một trong ba phần?",Biến hình
