Game,Câu hỏi,Đáp án
Rise of Kingdoms,Hai quốc gia nào cùng nhau tạo nên “Liên minh Iberia”?,Bồ Đào Nha và Tây Ban Nha
Rise of Kingdoms,Hai tác phẩm chính nào được cho là của homer?,Odyssey và Iliad
Rise of Kingdoms,Người thợ mộc nổi tiếng Lỗ Ban đã phát minh ra công cụ hữu ích nào?,Cái cưa
Rise of Kingdoms,"Một cách sử dụng khác của rượu gin, ngoài việc là một thức uống phổ biến, vào thế kỷ 18 là gì?",Thuốc
Rise of Kingdoms,Biệt danh Belisarius là gì?,Bản La Mã cuối cùng
Rise of Kingdoms,Bài phát biểu nổi tiếng của Otto von Bismarck năm 1862 là gì?,Máu và Sắt
Rise of Kingdoms,Tên vua của vị hoàng đế cuối cùng của triều đại nhà Thanh của Trung Quốc là gì?,Huyền Thông
Rise of Kingdoms,Mối quan hệ giữa các vị tướng nổi tiếng Tolui và Thành Cát Tư Hãn là gì?,Cha và con trai
Rise of Kingdoms,Những người đàn ông và phụ nữ đang trốn tránh điều gì ở vùng ngoại ô Florence trong bộ sưu tập tiểu thuyết ngắn ‘The Decameron’?,Bệnh dịch đen
Rise of Kingdoms,Những người đàn ông và phụ nữ đang trốn ở ngoại ô Florence trong tuyển tập tiểu thuyết ngắn “The Decameron” là gì?,Bệnh dịch đen
Rise of Kingdoms,Kỹ năng liên minh “Thợ thủ công khéo léo” có tác dụng gì khi sử dụng?,Tăng đáng kể tốc độ xây dựng cờ liên minh.
Rise of Kingdoms,Nguyên nhân chính hình thành dãy Himalaya là gì?,Va chạm giữa các tấm
Rise of Kingdoms,"Khi tòa thị chính của thống đốc đạt cấp 25, họ có thể xây dựng bao nhiêu trang trại?",4
Rise of Kingdoms,"Khi Achilles từ chối chiến đấu, Patroclus mặc áo giáp Achilles, chiến đấu với trojan và chết, Patroclus bị giết bởi ai?",Hector
Rise of Kingdoms,"Khi bắt và thả cá biển sâu, tại sao việc chọc thủng bong bóng của chúng lại quan trọng?",Để ngăn chúng chết vì bong bóng căng phồng
Rise of Kingdoms,Khủng long xuất hiện lần đầu tiên khi nào?,kỷ Trias
Rise of Kingdoms,Tuyên bố độc lập khi nào?,1776
Rise of Kingdoms,Ngày Quốc tế Rừng là khi nào?,ngày 21 tháng 3
Rise of Kingdoms,Ngày Thế giới Không Thuốc lá là khi nào?,ngày 31 tháng 5
Rise of Kingdoms,Tuyên ngôn độc lập được viết khi nào?,1776
Rise of Kingdoms,Thành Cát Tư Hãn bắt đầu xây dựng Đế chế Mông Cổ của mình ở đâu?,Châu Á
Rise of Kingdoms,Vua John của Anh đã đồng ý với Magna Carta vào năm 1215 ở đâu?,Runnymede
Rise of Kingdoms,Vua Louis XIV của Pháp đã chuyển triều đình đến đâu vào năm 1682?,Cung điện Versailles
Rise of Kingdoms,Vua Louis XIV của Pháp chuyển đến triều đình ở đâu vào năm 1682?,Cung điện Versailles
Rise of Kingdoms,Trận chiến cuối cùng giữa vua Arthur và Mordred diễn ra ở đâu theo truyền thuyết Arthurian?,Camlann
Rise of Kingdoms,Thời kỳ phục hưng bắt đầu từ đâu?,Ý
Rise of Kingdoms,Những người lính La Mã cổ đại lấy vũ khí và áo giáp ở đâu?,Bản thân
Rise of Kingdoms,Sự thích ứng đến từ đâu?,Cả đột biến và tái tổ hợp di truyền.
Rise of Kingdoms,Hầu hết các cơn bão bắt đầu từ đâu?,Trên biển mở
Rise of Kingdoms,Thủ đô của Scotland ở đâu?,Edinburgh
Rise of Kingdoms,Napoléon Bonaparte bị lưu đày ở đâu sau thất bại ở Waterloo?,Thánh Helena
Rise of Kingdoms,Đâu là điểm tập hợp của cuộc Thập tự chinh đầu tiên?,Constantinople
Rise of Kingdoms,Đội quân đất nung di sản thế giới được tìm thấy ở đâu?,Trong lăng mộ hoàng gia
Rise of Kingdoms,Nền văn minh cổ đại nào đã xây dựng nên “Thành phố đã mất” Machu Picchu?,người Inca
Rise of Kingdoms,Nhà khảo cổ học người Anh Howard Carter đã phát hiện ra lăng mộ của pharao Ai Cập cổ đại nào vào năm 1992?,Tutankhamun
Rise of Kingdoms,Nhà vật lý Hy Lạp cổ đại nào đã phát hiện ra khái niệm nổi trong khi tắm?,Archimedes
Rise of Kingdoms,Học giả Hy Lạp cổ đại nào đã đặt nền móng cho toán học châu Âu trong tương lai và là tác giả của cuốn “Các phần tử” của hình học?,Euclid
Rise of Kingdoms,Nhóm nghệ thuật nào được mệnh danh là “Báu vật quốc gia” của Canada?,Cirque du Soleil
Rise of Kingdoms,Nghệ sĩ nào đã thiết kế Vương cung thánh đường Thánh Phêrô ở Vatican?,Michelangelo
Rise of Kingdoms,Nghệ sĩ nào được chôn cất tại Pantheon?,Raphael
Rise of Kingdoms,Họa sĩ nào đã vẽ bức tranh “Cô gái đeo bông tai ngọc trai” nổi tiếng thế giới?,Johannes Vermeer
Rise of Kingdoms,Nhà thiên văn học nào đã đề xuất thuyết nhật tâm vào thế kỷ 16?,Nicolaus Copernicus
Rise of Kingdoms,Loại đồ uống nào được phát minh bởi dược sĩ người Mỹ John Pemberton?,cola
Rise of Kingdoms,Buff nào có thể nhận được khi chiếm giữ Thánh đường Dũng cảm?,Tăng EXP mà chỉ huy nhận được
Rise of Kingdoms,Tòa nhà nào ban đầu được xây dựng ở Luân Đôn để làm nơi tổ chức Triển lãm lớn về ngành công nghiệp xây dựng của tất cả các quốc gia được tổ chức vào năm 1851?,Cung điện pha lê
Rise of Kingdoms,Giang Tử Nha đã giúp thành lập triều đại nào ở Trung Quốc?,Nhà Chu
Rise of Kingdoms,Thành phố nào đã đánh bại Sparta trong “Trận chiến Leuctra”?,Thebes
Rise of Kingdoms,Thành phố nào đăng cai Thế vận hội Mùa hè 2000?,Sydney
Rise of Kingdoms,Thành phố nào của Hy Lạp cổ đại được biết đến với sự dũng cảm và huấn luyện quân sự tàn bạo?,Sparta
Rise of Kingdoms,Nền văn minh nào thưởng thêm 5% tấn công cho các đơn vị kỵ binh?,nước Đức
Rise of Kingdoms,Nền văn minh nào giúp tăng công suất bệnh viện?,Byzantine.
Rise of Kingdoms,Vị chỉ huy nào thường được coi là gương mẫu cho lý tưởng “Tinh thần võ sĩ đạo”?,Kusunoki Masashige
Rise of Kingdoms,Vị chỉ huy nào được mệnh danh là “Búa Bất Tử”?,Charles Martel
Rise of Kingdoms,Chỉ huy nào được gọi là Barbarossa?,Frederick I
Rise of Kingdoms,Người chỉ huy nào được mệnh danh là lãnh chúa của Kamakura?,Minamoto no Yoshitsune
Rise of Kingdoms,Người chỉ huy nào được mệnh danh là Kẻ chinh phục sự hỗn loạn?,Tào Tháo
Rise of Kingdoms,Người chỉ huy nào được mệnh danh là Lady of the Mercians?,Æthelflæd
Rise of Kingdoms,Chỉ huy nào được mệnh danh là tử thần hydromel?,Sarka
Rise of Kingdoms,Vị chỉ huy nào được mệnh danh là “Cung cách mạng”?,Yi Seong Gye
Rise of Kingdoms,Chỉ huy nào có biệt danh là Người bảo vệ của Carthage?,Hannibal Barca
Rise of Kingdoms,Vị chỉ huy nào được mệnh danh là Cha đẻ của cuộc chinh phục?,Baibars
Rise of Kingdoms,Chỉ huy nào có biệt danh là Kẻ man rợ gầm thét?,Lohar
Rise of Kingdoms,"Người chỉ huy nào được cho là đã nói “Tôi đến, tôi thấy, tôi chinh phục”?",Julius César
Rise of Kingdoms,Vị chỉ huy nào đã thể hiện thiên tài quân sự của mình trong trận Poitiers vào thế kỷ thứ 8 sau Công nguyên?,Charles Martel
Rise of Kingdoms,Vị chỉ huy nào đã thể hiện thiên tài quân sự của mình trong trận Tours vào thế kỷ thứ 8 sau Công nguyên?,Charles Martel
Rise of Kingdoms,Vị chỉ huy nào đã ký hiệp ước hòa bình với Saladin vào năm 1192?,Richard I
Rise of Kingdoms,Vị chỉ huy nào bị coi là kẻ thù của La Mã ngay từ khi còn nhỏ?,Hannibal Barca
Rise of Kingdoms,Chỉ huy nào phụ trách chiếm Constantinople ở tuổi 21?,Mehmed II
Rise of Kingdoms,Chỉ huy nào được biết đến với cái tên Celtic Rose?,Boudica
Rise of Kingdoms,Vị chỉ huy nào được mệnh danh là đồng cỏ tử thần?,Sarka
Rise of Kingdoms,Chỉ huy nào được ghép đôi với Minamoto?,Tomoe Gozen
Rise of Kingdoms,Kỹ năng chủ động của chỉ huy nào có thể gây ra sự im lặng,Hermann
Rise of Kingdoms,Nhạc sĩ nào đã sáng tác vở opera “Chiếc nhẫn của Nibelung”?,Wagner
Rise of Kingdoms,Châu lục nào là nơi ra đời của nền văn minh Maya?,Châu Mỹ
Rise of Kingdoms,Nhà thơ nổi tiếng Dante Alighieri đến từ đất nước nào?,Ý
Rise of Kingdoms,"Zarathustra, trong bài thơ có giai điệu “Zarathustra đã nói như vậy”, đến từ đất nước nào?",Ba Tư
Rise of Kingdoms,Nước nào tặng tượng Nữ thần Tự do cho người dân Mỹ?,Pháp
Rise of Kingdoms,Quốc gia nào ở châu Á trùng lặp với đế chế Parthia trước đây?,Iran
Rise of Kingdoms,Catalhoyuk (Çatalhöyük) nằm ở quốc gia nào?,Thổ Nhĩ Kỳ
Rise of Kingdoms,Quốc gia nào không thuộc Châu Âu?,Ai Cập
Rise of Kingdoms,Quốc gia nào bắt đầu truyền thống ngày làm việc 8 giờ?,Vương quốc Anh
Rise of Kingdoms,Nước Anh đã chiến đấu với nước nào trong trận Agincourt?,Pháp
Rise of Kingdoms,"Marco Polo, nhà thám hiểm và thương gia nổi tiếng sinh ra ở nước nào?",Cộng hòa Venice
Rise of Kingdoms,Nước nào phát minh ra nước hoa đầu tiên?,Síp
Rise of Kingdoms,"Vị á thần nào bắt được Cerberus, “con chó săn ba đầu của Hades”, theo thần thoại Hy Lạp?",Hercules
Rise of Kingdoms,Nhà khoa học Hà Lan nào được mệnh danh là “cha đẻ của vi sinh vật”?,Antonie van Leeuwenhoek
Rise of Kingdoms,Vị hoàng đế nào đã ban hành Tuyên bố Milan?,Constantine I
Rise of Kingdoms,Vị hoàng đế nào được nhiều người du mục Thổ Nhĩ Kỳ khác nhau mệnh danh là “Hãn thiên” trong triều đại nhà Tùy và nhà Đường?,Hoàng đế Thái Tông nhà Đường
Rise of Kingdoms,Dân tộc nào đã sáng lập nền văn minh sớm nhất của Lưỡng Hà?,Người Sumer
Rise of Kingdoms,Vị vua của nước châu Âu nào đã tài trợ cho chuyến thám hiểm nổi tiếng của Christopher Columbus?,Tây ban nha
Rise of Kingdoms,"Người châu Âu nào đã viết tạp chí du lịch đầu tiên mô tả chi tiết về lịch sử, văn hóa và nghệ thuật của Trung Quốc?",Marco Polo
Rise of Kingdoms,"Công tước Lorenzo, người bảo trợ nghệ thuật nổi tiếng thời Phục hưng, thuộc về gia đình nổi tiếng và có ảnh hưởng nào?",thuốc
Rise of Kingdoms,Vị vua Pháp nào được biết đến với cái tên Saint Louis?,Louis IX
Rise of Kingdoms,Loại khí nào chiếm hơn 90% bầu khí quyển của sao Hỏa?,Khí cacbonic
Rise of Kingdoms,Nhà tâm lý học người Đức nào đã phát hiện ra đường cong quên lãng của não người?,Hermann Ebbinghaus
Rise of Kingdoms,Taranis là vị thần nào trong thần thoại Celtic?,Thần Sấm
Rise of Kingdoms,Nhóm nào đã chinh phục Đế quốc Byzantine?,người Ottoman
Rise of Kingdoms,Nhân vật lịch sử nào được chôn cất trong Đền khắc của Palenque?,Pakal Đại đế
Rise of Kingdoms,Người sáng lập Kentucky Fried Chicken (KFC) được trao cấp bậc danh dự nào?,Đại tá
Rise of Kingdoms,Điều gì sẽ xảy ra nếu các phép bổ trợ sau có thể có hiệu lực trong các trận chiến tại Sunset Canyon?,Buff từ trang bị
Rise of Kingdoms,Nhà phát minh nào đã chế tạo ra đầu máy điện đầu tiên trên thế giới vào năm 1837?,Robert Davidson
Rise of Kingdoms,Đâu KHÔNG phải là Kỹ năng Vua?,Sự cứu tế
Rise of Kingdoms,Truyện nào được Sách Kỷ lục Guinness Thế giới công nhận là có lượng phát hành tích lũy lớn nhất so với bất kỳ truyện tranh một tác giả nào?,Eiichiro Oda/One Piece
Rise of Kingdoms,Rãnh nào được biết đến sâu nhất trên thế giới?,Rãnh Mariana
Rise of Kingdoms,Dãy núi lục địa nào dài nhất trên trái đất?,Dãy Andes
Rise of Kingdoms,Loài rắn nào nhỏ nhất được biết đến?,Rắn chủ đề Barbados
Rise of Kingdoms,"Địa danh nào ở Sydney, Úc có hình cánh buồm?",Nhà Hát Opera Sydney
Rise of Kingdoms,Suidae thuộc bộ động vật có vú nào?,Artiodactyla
Rise of Kingdoms,Vị chỉ huy quân sự nào được mệnh danh là “Người giải phóng Teutoburg”?,Hermann
Rise of Kingdoms,Nhà hát Globe của Shakespeare được xây dựng ở thành phố hiện đại nào?,Luân Đôn
Rise of Kingdoms,Nhạc cụ nào có sáu dây?,đàn ghi-ta
Rise of Kingdoms,Nhạc sĩ nào sáng tác “Cuộc hôn nhân của Figaro”?,Mozart
Rise of Kingdoms,Quốc gia nào KHÔNG tham gia vào Trận Waterloo?,Ý
Rise of Kingdoms,Bộ luật nào của Babylon là bộ luật thành văn đầy đủ đầu tiên trong lịch sử được ghi lại?,Bộ luật Hammurabi
Rise of Kingdoms,Nhân vật nào dưới đây không phải là Hiệp sĩ Bàn tròn của Vua Arthur?,Merlin
Rise of Kingdoms,Điều nào sau đây mô tả chính xác Vòng Bắc Cực,Ngày Cực và Đêm Cực là những hiện tượng xảy ra ở đó
Rise of Kingdoms,Thành tích nào sau đây phải được hoàn thành trước thành tích “Bông tuyết đặc biệt”?,Tấn công tầm xa
Rise of Kingdoms,Điều nào sau đây thưởng điểm hoạt động hàng ngày?,Đánh bại quân man rợ trên bản đồ
Rise of Kingdoms,Điều nào sau đây mô tả đúng nhất về Cá hề?,Cá biển nhiệt đới
Rise of Kingdoms,Vật nào sau đây không thể tìm thấy trong Rương bạc ở quán rượu?,Cấp độ. 3 Cuốn sách kiến ​​thức
Rise of Kingdoms,Điều nào sau đây KHÔNG thể tìm thấy trong Cửa hàng Liên minh?,Chìa Khóa Vàng
Rise of Kingdoms,Giống mèo nào sau đây được biết đến là không có lông?,Sphynx
Rise of Kingdoms,Thành phố nào sau đây là thành phố đầu tiên có hệ thống vận chuyển nhanh chóng dưới lòng đất?,Luân Đôn
Rise of Kingdoms,Nền văn minh nào sau đây không thể buff kỵ binh của họ?,người Ottoman
Rise of Kingdoms,Nền văn minh nào sau đây tăng 5% sát thương của các kỹ năng chỉ huy tích cực?,người Ottoman
Rise of Kingdoms,Người chỉ huy nào sau đây xuất sắc trong việc thu thập tài nguyên?,Cleopatra VII
Rise of Kingdoms,Chỉ huy nào sau đây xuất sắc trong việc tấn công các thành phố của đối phương?,Caesar
Rise of Kingdoms,Người chỉ huy nào sau đây xuất sắc trong việc dẫn đầu các cung thủ?,Yi Seong Gye
Rise of Kingdoms,Chỉ huy nào sau đây giỏi dẫn đầu kỵ binh?,Minamoto no Yoshitsune
Rise of Kingdoms,Chỉ huy nào sau đây xuất sắc trong việc chỉ huy bộ binh?,Richard I
Rise of Kingdoms,Người chỉ huy nào sau đây đã tham gia cuộc nổi dậy chống lại chính chồng mình?,Constance
Rise of Kingdoms,"Người chỉ huy nào sau đây thực sự là người cai trị vương quốc của họ, nhưng chưa bao giờ chính thức là nguyên thủ quốc gia?",Charles Martel
Rise of Kingdoms,Người chỉ huy nào sau đây là một phần của Trận chiến Xích Xích?,Tào Tháo
Rise of Kingdoms,Vị chỉ huy nào sau đây là một phần của cuộc chiến trăm năm?,Joan xứ Arc
Rise of Kingdoms,Quốc gia nào sau đây nằm hoàn toàn ở Bắc bán cầu?,Không có câu trả lời nào trong số này là đúng
Rise of Kingdoms,Điều nào sau đây mô tả một người theo thuyết độc thần?,Ai đó đã chiến đấu với 1 vị thần.
Rise of Kingdoms,Desiderius Erasmus và Thomas More có điểm gì chung?,Cả hai đều được coi là những người theo chủ nghĩa nhân văn
Rise of Kingdoms,Điều nào sau đây KHÔNG xảy ra trong Chiến tranh Hy Lạp-Ba Tư?,Trận Agincourt
Rise of Kingdoms,Bác sĩ nào sau đây là người đầu tiên mô tả đầy đủ và chi tiết về hệ tuần hoàn và chức năng của tim?,William Harvey
Rise of Kingdoms,Điều nào sau đây không cấp Tín dụng Cá nhân?,Cung cấp tài nguyên cho đồng minh.
Rise of Kingdoms,Điều nào sau đây KHÔNG cung cấp cho chỉ huy EXP?,Tấn công người chơi khác
Rise of Kingdoms,Vòng tròn Olympic màu xanh lá cây đại diện cho điều nào sau đây?,Châu Đại Dương
Rise of Kingdoms,Yếu tố nào sau đây cho phép một số đồ uống hỗn hợp nhất định được xếp lớp?,Tỉ trọng
Rise of Kingdoms,Vị vua nào sau đây của Pháp được mệnh danh là Vua Mặt Trời?,Louis XIV
Rise of Kingdoms,Loại quả nào sau đây được mệnh danh là “đào sói” bị lầm tưởng là có độc?,cà chua
Rise of Kingdoms,Thiếu vitamin D có thể gây ra bệnh nào sau đây?,Bệnh còi xương
Rise of Kingdoms,Phát minh nào sau đây không xuất hiện trong cuộc cách mạng công nghiệp lần thứ nhất?,Điện thoại
Rise of Kingdoms,Công trình nào sau đây là công trình trang trí?,Trống đá
Rise of Kingdoms,Chất nào sau đây là nhiên liệu hóa thạch được hình thành từ các sinh vật biển thường được tìm thấy ở dạng lớp gấp hoặc nghiêng và được sử dụng để sưởi ấm và nấu ăn?,Khí thiên nhiên
Rise of Kingdoms,Chất nào sau đây là nhiên liệu hóa thạch lỏng được hình thành từ các sinh vật biển được đốt cháy để lấy năng lượng và được sử dụng để sản xuất nhựa?,Dầu
Rise of Kingdoms,Tên nào sau đây là tên của đá trầm tích được hình thành từ xác thực vật mục nát ở vùng đầm lầy?,Than
Rise of Kingdoms,"Nguồn năng lượng nào sau đây là nguồn năng lượng không thể tái tạo (như than, dầu hoặc khí tự nhiên)?",Nhiên liệu hóa thạch
Rise of Kingdoms,Nguồn năng lượng nào sau đây là nguồn năng lượng không thể tái tạo?,Nước
Rise of Kingdoms,Điều nào sau đây là Giai đoạn của Thống đốc hùng mạnh nhất?,Loại bỏ kẻ thù
Rise of Kingdoms,Điều nào sau đây là thuật ngữ chỉ một loại vật liệu có giá trị có nguồn gốc địa chất có thể được khai thác từ trái đất,Tài nguyên thiên nhiên
Rise of Kingdoms,Câu nào sau đây mô tả chính xác về khí hậu Địa Trung Hải?,"Mùa hè nóng, khô và mùa đông mát, ẩm ướt."
Rise of Kingdoms,Nguồn năng lượng nào sau đây là nguồn năng lượng thay thế dựa trên việc tách các nguyên tử nặng thành nguyên tử nhẹ hơn để giải phóng năng lượng?,Năng lượng hạt nhân
Rise of Kingdoms,Nguồn năng lượng nào sau đây là nguồn năng lượng vô tận dựa vào magma nóng hoặc đá khô nóng dưới mặt đất?,địa lý
Rise of Kingdoms,Cái nào sau đây là tên gọi khác của “Cái chết đen” hoành hành khắp châu Âu vào cuối thời Trung cổ?,Yersinia pestis
Rise of Kingdoms,Chất nào sau đây được coi là tài nguyên kim loại?,Sắt
Rise of Kingdoms,Nguồn nào sau đây được coi là nguồn năng lượng?,Dầu mỏ
Rise of Kingdoms,Điều nào sau đây có nhiều khả năng nhất đã trực tiếp dẫn đến thời đại đồ đồng?,Đồng cứng hơn và bền hơn các kim loại khác vào thời điểm đó
Rise of Kingdoms,Nước nào sau đây KHÔNG phải là “nước thấp” của châu Âu?,Vương quốc Anh
Rise of Kingdoms,Điều nào sau đây không phải là đặc điểm của nghệ thuật Phục hưng?,phẳng/hai chiều
Rise of Kingdoms,Tài nguyên nào sau đây không phải là tài nguyên thiên nhiên?,Quần áo
Rise of Kingdoms,Điều nào sau đây không phải là lý do tại sao thời kỳ phục hưng bắt đầu ở Ý?,Bệnh dịch hạch đen không tấn công Ý nhờ dãy Alps
Rise of Kingdoms,Điều nào sau đây KHÔNG phải là bộ trong poker?,Gió
Rise of Kingdoms,Điều nào sau đây không phải là mục tiêu của thần thoại Hy Lạp?,Cung cấp một con đường cho sự cứu rỗi
Rise of Kingdoms,Kỹ năng nào sau đây không phải là Kỹ năng Vua?,Sự cứu tế
Rise of Kingdoms,Điều nào sau đây KHÔNG phải là một trong những kỹ năng của Belisarius?,Lực lượng sấm sét
Rise of Kingdoms,Điều nào sau đây KHÔNG phải là một trong những kỹ năng của El Cid?,Tinh thần hiệp sĩ
Rise of Kingdoms,Điều nào sau đây KHÔNG phải là một trong những kỹ năng của Keira?,Máu ngang ngược
Rise of Kingdoms,Điều nào sau đây KHÔNG phải là một trong những kỹ năng của Lohar?,Sự hủy diệt hoàn toàn
Rise of Kingdoms,Điều nào sau đây KHÔNG phải là một trong những kỹ năng của Matilda of Flanders?,Dòng máu Celtic
Rise of Kingdoms,Điều nào sau đây KHÔNG phải là một trong những kỹ năng của Mulan?,Đội quân bất khuất
Rise of Kingdoms,Điều nào sau đây KHÔNG phải là một trong những kỹ năng của Osman I?,Chiến thuật xiên
Rise of Kingdoms,Điều nào sau đây KHÔNG phải là một trong những kỹ năng bị động của Pelagius?,Thù lao
Rise of Kingdoms,Điều nào sau đây không phải là một trong những số phận của thần thoại Bắc Âu?,Nghiệp chướng
Rise of Kingdoms,Chất nào sau đây KHÔNG phải là một trong những khí nhà kính chính trong khí quyển trái đất?,Nitơ
Rise of Kingdoms,Phần nào sau đây không phải là một phần của quốc kỳ Mexico.?,Con lạc đà
Rise of Kingdoms,Câu nào sau đây mô tả đúng về tầng bình lưu?,Ở trên ấm và lạnh ở dưới
Rise of Kingdoms,Công viên nào sau đây là công viên quốc gia đầu tiên trên thế giới?,Công viên quốc gia Yellowstone
Rise of Kingdoms,Hòn đảo nào sau đây là hòn đảo lớn nhất thế giới?,Greenland
Rise of Kingdoms,Người nào sau đây là anh trai của Zeus trong Thần thoại Geek?,Poseidon
Rise of Kingdoms,Loại nước trái cây nào sau đây có trong loại cocktail cổ điển “Bloody Mary”?,Nước ép cà chua
Rise of Kingdoms,Mô tả nào về danh hiệu vương quốc sau đây KHÔNG ĐÚNG?,Thủ tướng đã tăng cường quân tấn công.
Rise of Kingdoms,Loài sinh vật biển nào sau đây tồn tại lâu nhất?,Nautilus
Rise of Kingdoms,Nhà vật lý nào sau đây sinh vào ngày giỗ của Galileo Galilei và mất vào ngày giỗ của Albert Einstein?,Stephen Hawking
Rise of Kingdoms,Tài nguyên nào sau đây không thể tìm thấy trong quần jean của bạn?,Chỉ huy
Rise of Kingdoms,Loài hoa nào sau đây được coi là quốc hoa của Philippines?,Sampaguita
Rise of Kingdoms,Bài phát biểu nào sau đây của Thủ tướng Phổ Otto von Bismarck vào tháng 9 năm 1862?,Máu và Sắt
Rise of Kingdoms,Câu chuyện nào sau đây không phải là truyện cổ Grimm?,Nàng tiên cá nhỏ
Rise of Kingdoms,Công nghệ nào sau đây có trước “Kỵ sĩ”?,Kỷ luật quân đội
Rise of Kingdoms,Loại vitamin nào sau đây hữu ích nhất để duy trì thị lực tốt?,Vitamin A
Rise of Kingdoms,Vị tướng nào sau đây là vị tướng trong Chiến tranh Genpei của Nhật Bản?,Tomoe Gozen
Rise of Kingdoms,Ai sau đây là Hiệp sĩ Bàn tròn?,Lancelot
Rise of Kingdoms,Điều nào sau đây là phong trào trí tuệ thời Phục hưng trong đó các nhà tư tưởng nghiên cứu các văn bản cổ điển và tập trung vào tiềm năng và thành tựu của con người?,chủ nghĩa nhân văn
Rise of Kingdoms,Nước nào sau đây còn được gọi là Đế chế Đông La Mã?,Đế quốc Byzantine
Rise of Kingdoms,Ai sau đây là kẻ thù của Richard the Lionheart?,Saladin
Rise of Kingdoms,Công trình nào sau đây được xây dựng theo lệnh của Shah Jahan để tưởng nhớ người vợ Mumtaz Mahal của ông?,Taj Mahal
Rise of Kingdoms,Điều nào sau đây không phải là trụ cột của thời Phục hưng?,Chủ nghĩa lịch sự
Rise of Kingdoms,Vật nào sau đây KHÔNG được phát minh ở Trung Quốc?,Máy ghi địa chấn
Rise of Kingdoms,Điều nào sau đây được đồng hương của ông ca ngợi là đại diện dân chủ trung thực và tốt nhất của Hy Lạp cổ đại?,Pericles
Rise of Kingdoms,Điều nào sau đây được viết bởi Mary Shelley?,Frankenstein
Rise of Kingdoms,Điều nào sau đây không phải là lợi ích khi trở thành Người ghi chép của Ai Cập cổ đại?,Ngoại trừ chì bệnh được thanh toán y tế
Rise of Kingdoms,Người nào sau đây sinh cùng năm với ca sĩ Luciano Pavarotti?,Elvis Presley
Rise of Kingdoms,Tác phẩm nào sau đây dựa trên Trận chiến đèo Roncevaux do Charlemagne và các hiệp sĩ của ông chiến đấu?,Bài hát của Roland
Rise of Kingdoms,Tác phẩm nào sau đây được viết bởi nhà viết kịch người Pháp Pierre Corneille?,Lê Cid
Rise of Kingdoms,Điều nào sau đây KHÔNG phải là một trong những kỹ năng của Baybar?,Lực lượng sấm sét
Rise of Kingdoms,Kỳ quan nào trong số bảy kỳ quan thế giới được tạo ra để chữa khỏi nỗi nhớ nhà của Nữ hoàng Babylon mới?,Vườn treo
Rise of Kingdoms,Kỹ năng chủ động nào sau đây thuộc về Charles Martel?,Khiên bất tử
Rise of Kingdoms,Sĩ quan nào trong số những sĩ quan liên minh này sẽ tăng Tốc độ Nghiên cứu?,cố vấn
Rise of Kingdoms,Nghệ sĩ nào trong số này KHÔNG phải là họa sĩ người Baraque?,Vincent Van Gogh
Rise of Kingdoms,Tòa nhà nào sau đây KHÔNG phải là một trong Bảy kỳ quan mới của thế giới?,Cung điện Versailles
Rise of Kingdoms,Thành phố nào sau đây đã tổ chức Thế vận hội vào năm 1900?,Paris
Rise of Kingdoms,Thành phố nào sau đây ở Brazil đã tổ chức Thế vận hội Olympic?,Rio de Janeiro
Rise of Kingdoms,Chỉ huy nào trong số này có khả năng chuyển đổi một số đơn vị bị giết thành đơn vị bị thương nặng khi tấn công một thành phố?,Charlemagne
Rise of Kingdoms,Ai trong số những người chỉ huy này có khả năng chuyển đổi một số đơn vị bị giết?,Charlemagne
Rise of Kingdoms,Ai trong số những chỉ huy này đã có thể đánh bại Charles vĩ đại trong trận chiến?,Henry V
Rise of Kingdoms,Quốc gia nào sau đây KHÔNG tham gia Chiến tranh Bảy năm phương Bắc (1563-1570)?,Vương quốc Anh
Rise of Kingdoms,Kinh tuyến gốc đi qua quốc gia nào sau đây?,Mali
Rise of Kingdoms,Quốc gia nào sau đây KHÔNG phải là thành viên sáng lập của NATO (năm 1949)?,Thổ Nhĩ Kỳ
Rise of Kingdoms,Hiệu ứng nào KHÔNG phải do kỹ năng của Aethelflaed gây ra?,Chữa lành các đơn vị bị thương nhẹ
Rise of Kingdoms,Mô tả nào sau đây không chính xác về “Trận chiến Poitiers”?,Chiến dịch diễn ra trong Thế chiến thứ nhất
Rise of Kingdoms,Mô tả nào sau đây là không chính xác về “Mare Imbrium” trên mặt trăng?,Nó chứa một lượng nước trầm tích nhất định
Rise of Kingdoms,Cái nào sau đây không phải là nền văn minh cổ xưa của Châu Mỹ?,Người Sumer
Rise of Kingdoms,Ai trong số này KHÔNG được coi là một trong “Năm vị hoàng đế tốt” của triều đại Nerva-Antonine ở La Mã cổ đại?,hàng hóa
Rise of Kingdoms,Cái nào trong số này là một trong những “Kỹ năng chủ động” của Minamoto no Yoshitune?,Kyohachiryu
Rise of Kingdoms,Cái nào trong số này là quốc hoa của Ấn Độ?,hoa sen
Rise of Kingdoms,Cái nào trong số này được sử dụng để tập hợp quân đội liên minh?,Lâu đài
Rise of Kingdoms,Vật phẩm nào KHÔNG thể có được bằng cách đánh bại những kẻ man rợ?,Điểm VIP
Rise of Kingdoms,Những mặt hàng nào sau đây KHÔNG thể mua được trong Cửa hàng Thương gia Bí ẩn?,Trang hộ chiếu
